Area served,Total length ,Irrigation valves,year,FCIP Cost
19,366,5,2014,247632
20,390,5,2014,226870
23,795,5,2014,363098
24,779,4,2014,401454
24,530,8,2011,347855
24,482,5,2014,343827
25,644,8,2014,331076
25,530,4,2014,303024
26,300,5,2012,210616
26,462,8,2014,349523
26.2,588,3,2014,352094
27,507,7,2014,284942
27,477,5,2010,225198
27,470,5,2014,282934
27,400,7,2014,288227
27,299,6,2014,268368
28,327,5,2014,302181
28,280,5,2013,229054
28,280,5,2015,266404
28,280,5,2015,285292
28,198,5,2014,214734
29,448,7,2014,330764
29,330,6,2012,224449
30,779,3,2014,321717
30,655,5,2013,324866
30,400,5,2014,317470
31,774,11,2011,382645
32,765,8,2011,276584
32,630,6,2014,353089
32,600,6,2010,288882
32,251,4,2014,257528
34,870,10,2014,402796
34,492,5,2014,339042
34,468,5,2014,329059
34,400,4,2014,265775
35,377,6,2012,269297
36,750,8,2014,334916
37,750,6,2011,269103
37,674,9,2012,343534
37,417,7,2010,267104
38,1033,6,2014,364033
38,530,7,2010,246388
39,1135,10,2014,415018
39,505,8,2014,328105
39,401,5,2014,330347
40,1040,11,2014,572213
40,1000,3,2014,427421
40,870,10,2014,397017
41,850,8,2014,430067
41,532,8,2012,250097
41,321,5,2014,240469
43,800,8,2010,346772
43,544,6,2014,310335
45,992,9,2014,467948
45,850,7,2013,392516
45,630,7,2013,323702
45,616,9,2014,434407
45,610,7,2013,310025
45,603,6,2014,311572
46,1390,10,2014,528668
46,471,7,2015,386043
46,470,7,2014,311473
47,700,6,2014,391094
50,1275,12,2010,480177
50,1020,9,2010,306053
50,870,13,2014,379835
50,600,11,2011,313996
50,310,7,2015,346180
51,1730,7,2014,677433
51,455,6,2014,319335
51,365,5,2012,209795
51,359,7,2013,313156
51,312,7,2013,253404
52,1393,13,2014,588634
52,1100,13,2014,526920
52,439,5,2014,304224
53,1325,11,2013,623674
53,1200,27,2013,603681
53,570,9,2014,436038
54,1179,10,2014,412340
56,1832,3,2014,603733
56,850,8,2011,385871
56,720,9,2012,378414
56,700,9,2015,387368
58,1310,9,2011,501687
60,1258,11,2013,501560
61,1018,12,2012,434545
62,1290,13,2015,630254
62,1091,10,2015,513023
63,1499,12,2013,664207
65,875,15,2010,347098
67,1150,10,2011,468006
67,1150,11,2011,428314
68,664,7,2014,396737
70,908,10,2014,620577
70,870,11,2010,350214
70,119,10,2015,349062
71,960,9,2014,401864
71,956,9,2010,397841
74,1675,11,2014,705904
76,1300,12,2014,593994
76,1300,12,2014,592582
77,1393,17,2014,701507
79,909,12,2012,476151
80,1399,12,2011,507948
80,934,9,2014,597031
88,1095,6,2014,414148
88,1095,15,2014,444104
90,721,13,2015,667167
97,1140,4,2014,551958
100,1481,15,2014,616467
78.1,1051.6,9,2010,425690
29.7,440,7,2014,308403
45.1,935,8,2014,460172
22,429,5,2014,242751
37.4,957,10,2014,430992
49.5,663.3,6,2014,333382
88,1027.4,9,2014,638823
37.4,541.2,5,2014,362775
57.2,1210,13,2014,563805
30.8,308,5,2015,305263
41.8,1136.3,6,2014,389516
61.6,2015.2,3,2014,645995
58.3,627,9,2014,466561
49.5,677.6,9,2014,464815
73.7,1265,11,2011,458295
45.1,585.2,8,2012,267604
55,660,11,2011,335976
58.3,1320,27,2013,645938
96.8,1204.5,6,2014,443139
49.5,693,7,2013,346361
40.7,458.7,7,2010,285802
66,1383.8,11,2013,536669
50.6,517,7,2014,333277
49.5,1091.2,9,2014,500704
42.9,555.5,8,2014,351073
84.7,1532.3,17,2014,750612
110,1629.1,15,2014,659620
30.8,308,5,2015,285052
27.5,583,4,2014,324236
41.8,583,7,2010,263636
30.8,308,5,2013,245087
73.7,1265,10,2011,500766
55,1402.5,12,2010,513789
